,K,m
322,9,0.0086329
323,9,0.0087468
324,9,0.0088608
325,9,0.0089747
326,9,0.0090886
327,9,0.0092025
328,9,0.0093165
329,9,0.0094304
330,9,0.0095443
331,9,0.0096582
332,9,0.0097722
333,9,0.0098861
334,9,0.01
335,9,0.0118461
336,9,0.014033
337,9,0.0166237
338,9,0.0196926
339,9,0.0233281
340,9,0.0276347
341,9,0.0327364
342,9,0.0387799
343,9,0.0459391
344,9,0.0544199
345,9,0.0644664
346,9,0.0763677
347,9,0.090466
348,9,0.107167
349,9,0.1269512
350,9,0.1503878
351,9,0.1781511
352,9,0.2110397
353,9,0.25
354,11,5e-05
355,11,5.85e-05
356,11,6.85e-05
357,11,8.02e-05
358,11,9.39e-05
359,11,0.00011
360,11,0.0001288
361,11,0.0001508
362,11,0.0001765
363,11,0.0002067
364,11,0.0002419
365,11,0.0002833
366,11,0.0003316
367,11,0.0003883
368,11,0.0004546
369,11,0.0005322
370,11,0.0006231
371,11,0.0007295
372,11,0.0008541
373,11,0.001
374,11,0.0011139
375,11,0.0012278
376,11,0.0013418
377,11,0.0014557
378,11,0.0015696
379,11,0.0016835
380,11,0.0017975
381,11,0.0019114
382,11,0.0020253
383,11,0.0021392
384,11,0.0022532
385,11,0.0023671
386,11,0.002481
387,11,0.0025949
388,11,0.0027089
389,11,0.0028228
390,11,0.0029367
391,11,0.0030506
392,11,0.0031646
393,11,0.0032785
394,11,0.0033924
395,11,0.0035063
396,11,0.0036203
397,11,0.0037342
398,11,0.0038481
399,11,0.003962
400,11,0.0040759
401,11,0.0041899
402,11,0.0043038
403,11,0.0044177
404,11,0.0045316
405,11,0.0046456
406,11,0.0047595
407,11,0.0048734
408,11,0.0049873
409,11,0.0051013
410,11,0.0052152
411,11,0.0053291
412,11,0.005443
413,11,0.005557
414,11,0.0056709
415,11,0.0057848
416,11,0.0058987
417,11,0.0060127
418,11,0.0061266
419,11,0.0062405
420,11,0.0063544
421,11,0.0064684
422,11,0.0065823
423,11,0.0066962
424,11,0.0068101
425,11,0.0069241
426,11,0.007038
427,11,0.0071519
428,11,0.0072658
429,11,0.0073797
430,11,0.0074937
431,11,0.0076076
432,11,0.0077215
433,11,0.0078354
434,11,0.0079494
435,11,0.0080633
436,11,0.0081772
437,11,0.0082911
438,11,0.0084051
439,11,0.008519
440,11,0.0086329
441,11,0.0087468
442,11,0.0088608
443,11,0.0089747
444,11,0.0090886
445,11,0.0092025
446,11,0.0093165
447,11,0.0094304
448,11,0.0095443
449,11,0.0096582
450,11,0.0097722
451,11,0.0098861
452,11,0.01
453,11,0.0118461
454,11,0.014033
455,11,0.0166237
456,11,0.0196926
457,11,0.0233281
458,11,0.0276347
459,11,0.0327364
460,11,0.0387799
461,11,0.0459391
462,11,0.0544199
463,11,0.0644664
464,11,0.0763677
465,11,0.090466
466,11,0.107167
467,11,0.1269512
468,11,0.1503878
469,11,0.1781511
470,11,0.2110397
471,11,0.25
