,K,m
0,5,0.001
1,5,0.00604
2,5,0.011081
3,5,0.016121
4,5,0.021162
5,5,0.026202
6,5,0.031242
7,5,0.036283
8,5,0.041323
9,5,0.046364
10,5,0.051404
11,5,0.056444
12,5,0.061485
13,5,0.066525
14,5,0.071566
15,5,0.076606
16,5,0.081646
17,5,0.086687
18,5,0.091727
19,5,0.096768
20,5,0.101808
21,5,0.106848
22,5,0.111889
23,5,0.116929
24,5,0.12197
25,5,0.12701
26,5,0.132051
27,5,0.137091
28,5,0.142131
29,5,0.147172
30,5,0.152212
31,5,0.157253
32,5,0.162293
33,5,0.167333
34,5,0.172374
35,5,0.177414
36,5,0.182455
37,5,0.187495
38,5,0.192535
39,5,0.197576
40,5,0.202616
41,5,0.207657
42,5,0.212697
43,5,0.217737
44,5,0.222778
45,5,0.227818
46,5,0.232859
47,5,0.237899
48,5,0.242939
49,5,0.24798
50,5,0.25302
51,5,0.258061
52,5,0.263101
53,5,0.268141
54,5,0.273182
55,5,0.278222
56,5,0.283263
57,5,0.288303
58,5,0.293343
59,5,0.298384
60,5,0.303424
61,5,0.308465
62,5,0.313505
63,5,0.318545
64,5,0.323586
65,5,0.328626
66,5,0.333667
67,5,0.338707
68,5,0.343747
69,5,0.348788
70,5,0.353828
71,5,0.358869
72,5,0.363909
73,5,0.368949
74,5,0.37399
75,5,0.37903
76,5,0.384071
77,5,0.389111
78,5,0.394152
79,5,0.399192
80,5,0.404232
81,5,0.409273
82,5,0.414313
83,5,0.419354
84,5,0.424394
85,5,0.429434
86,5,0.434475
87,5,0.439515
88,5,0.444556
89,5,0.449596
90,5,0.454636
91,5,0.459677
92,5,0.464717
93,5,0.469758
94,5,0.474798
95,5,0.479838
96,5,0.484879
97,5,0.489919
98,5,0.49496
99,5,0.5
100,7,0.001
101,7,0.00604
102,7,0.011081
103,7,0.016121
104,7,0.021162
105,7,0.026202
106,7,0.031242
107,7,0.036283
108,7,0.041323
109,7,0.046364
110,7,0.051404
111,7,0.056444
112,7,0.061485
113,7,0.066525
114,7,0.071566
115,7,0.076606
116,7,0.081646
117,7,0.086687
118,7,0.091727
119,7,0.096768
120,7,0.101808
121,7,0.106848
122,7,0.111889
123,7,0.116929
124,7,0.12197
125,7,0.12701
126,7,0.132051
127,7,0.137091
128,7,0.142131
129,7,0.147172
130,7,0.152212
131,7,0.157253
132,7,0.162293
133,7,0.167333
134,7,0.172374
135,7,0.177414
136,7,0.182455
137,7,0.187495
138,7,0.192535
139,7,0.197576
140,7,0.202616
141,7,0.207657
142,7,0.212697
143,7,0.217737
144,7,0.222778
145,7,0.227818
146,7,0.232859
147,7,0.237899
148,7,0.242939
149,7,0.24798
150,7,0.25302
151,7,0.258061
152,7,0.263101
153,7,0.268141
154,7,0.273182
155,7,0.278222
156,7,0.283263
157,7,0.288303
158,7,0.293343
159,7,0.298384
160,7,0.303424
161,7,0.308465
162,7,0.313505
163,7,0.318545
164,7,0.323586
165,7,0.328626
166,7,0.333667
167,7,0.338707
168,7,0.343747
169,7,0.348788
170,7,0.353828
171,7,0.358869
172,7,0.363909
173,7,0.368949
174,7,0.37399
175,7,0.37903
176,7,0.384071
177,7,0.389111
178,7,0.394152
179,7,0.399192
180,7,0.404232
181,7,0.409273
182,7,0.414313
183,7,0.419354
184,7,0.424394
185,7,0.429434
186,7,0.434475
187,7,0.439515
188,7,0.444556
189,7,0.449596
190,7,0.454636
191,7,0.459677
192,7,0.464717
193,7,0.469758
194,7,0.474798
195,7,0.479838
196,7,0.484879
197,7,0.489919
198,7,0.49496
199,7,0.5
200,9,0.001
201,9,0.00604
202,9,0.011081
203,9,0.016121
204,9,0.021162
205,9,0.026202
206,9,0.031242
207,9,0.036283
208,9,0.041323
209,9,0.046364
210,9,0.051404
211,9,0.056444
212,9,0.061485
213,9,0.066525
214,9,0.071566
215,9,0.076606
216,9,0.081646
217,9,0.086687
218,9,0.091727
219,9,0.096768
220,9,0.101808
221,9,0.106848
222,9,0.111889
223,9,0.116929
224,9,0.12197
225,9,0.12701
226,9,0.132051
227,9,0.137091
228,9,0.142131
229,9,0.147172
230,9,0.152212
231,9,0.157253
232,9,0.162293
233,9,0.167333
234,9,0.172374
235,9,0.177414
236,9,0.182455
237,9,0.187495
238,9,0.192535
239,9,0.197576
240,9,0.202616
241,9,0.207657
242,9,0.212697
243,9,0.217737
244,9,0.222778
245,9,0.227818
246,9,0.232859
247,9,0.237899
248,9,0.242939
249,9,0.24798
250,9,0.25302
251,9,0.258061
252,9,0.263101
253,9,0.268141
254,9,0.273182
255,9,0.278222
256,9,0.283263
257,9,0.288303
258,9,0.293343
259,9,0.298384
260,9,0.303424
261,9,0.308465
262,9,0.313505
263,9,0.318545
264,9,0.323586
265,9,0.328626
266,9,0.333667
267,9,0.338707
268,9,0.343747
269,9,0.348788
270,9,0.353828
271,9,0.358869
272,9,0.363909
273,9,0.368949
274,9,0.37399
275,9,0.37903
276,9,0.384071
277,9,0.389111
278,9,0.394152
279,9,0.399192
280,9,0.404232
281,9,0.409273
282,9,0.414313
283,9,0.419354
284,9,0.424394
285,9,0.429434
286,9,0.434475
287,9,0.439515
288,9,0.444556
289,9,0.449596
290,9,0.454636
291,9,0.459677
292,9,0.464717
293,9,0.469758
294,9,0.474798
295,9,0.479838
296,9,0.484879
297,9,0.489919
298,9,0.49496
299,9,0.5
